what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1333952430642
locale,sysinfo,,,"en_US",1333952430642
processors,sysinfo,,,"2",1333952430642
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333952430642
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1333952430642
java.specification.name,sysinfo,,,"Java Platform API Specification",1333952430642
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333952430642
java.specification.version,sysinfo,,,"1.7",1333952430642
java.vendor,sysinfo,,,"Oracle Corporation",1333952430642
java.version,sysinfo,,,"1.7.0_02",1333952430642
java.vm.info,sysinfo,,,"mixed mode",1333952430642
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333952430642
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333952430642
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333952430642
java.vm.specification.version,sysinfo,,,"1.7",1333952430642
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333952430642
java.vm.version,sysinfo,,,"22.0-b10",1333952430642
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1333952431657
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1333952431704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952432140
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1333952432842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952452127
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333952460255
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1333952464280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333952504372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952523201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952530954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952544511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952572045
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333952572138
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1333952581467
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1333952581467
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1333952581545
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1333952581545
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1333952581670
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1333952581685
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333952582013
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1333952586241
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333952593994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952597364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952600203
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333952601794
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1333952602075
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1333952602246
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333952602371
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1333952605756
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1333952606037
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1333952606084
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1333952606380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952623236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333952623344
