what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1333955622761
locale,sysinfo,,,"en_US",1333955622761
processors,sysinfo,,,"2",1333955622761
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333955622761
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1333955622761
java.specification.name,sysinfo,,,"Java Platform API Specification",1333955622761
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333955622761
java.specification.version,sysinfo,,,"1.7",1333955622761
java.vendor,sysinfo,,,"Oracle Corporation",1333955622761
java.version,sysinfo,,,"1.7.0_02",1333955622761
java.vm.info,sysinfo,,,"mixed mode",1333955622761
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333955622761
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333955622761
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333955622761
java.vm.specification.version,sysinfo,,,"1.7",1333955622761
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333955622761
java.vm.version,sysinfo,,,"22.0-b10",1333955622761
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1333955624885
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333955626155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333955626248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333955629031
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333955629621
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1333955629795
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1333955629868
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333955630232
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1333955635021
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1333955635026
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1333955635166
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1333955635187
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1333955635353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333955643221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333955643335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333955651878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333956516145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333956518026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333956522794
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333956522825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333956525972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962252223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962258414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962285152
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1333962293266
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1333962293296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962302787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962323103
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333962368300
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333962377806
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1333962392870
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333962393824
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1333962393920
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333962394437
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1333962394559
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1333962394751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962396909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962402513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962402803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962413169
error,log,,,"themes.xml: com.android.layoutlib.bridge.MockView cannot be cast to android.view.ViewGroup",1333962420354
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1333962426281
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333962429110
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333962429154
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1333962439324
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1333962439376
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333962441737
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333962460485
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333962463206
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333962463250
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333962475700
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333962481298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962481328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962483389
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333962483466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962689897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962791294
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1333962795754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333962800510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333964156307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333993666611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333993666689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333993667313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333993669263
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333993670340
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333993671761
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1333993672931
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1333993672931
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1333993672962
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1334118200324
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1334118200325
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1334118200326
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1334118200328
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1334118200328
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1334118200329
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1334118200331
